,variable,label,type
3,cf1lenhr,What was the total length of interview - Hours,Continuous
4,cf1lenmin,What was the total length of interview - Minutes,Continuous
6,cf1fint,Constructed - Was father interviewed at baseline?,Unordered Categorical
11,cf1citsm,Constructed - Baseline city sample flag,Unordered Categorical
12,f1citywt,Father baseline city sample weight (20-cities population),Continuous
13,f1a2,Were you present at the birth?,Unordered Categorical
14,f1a3,Have you held baby(ies)?,Unordered Categorical
15,f1a4,Will the baby(ies) have your last name?,Unordered Categorical
17,f1a5,Will your name be on the birth certificate?,Unordered Categorical
19,f1a6,Do you have other biological children?,Unordered Categorical
20,f1a6a,How many other biological children?,Continuous
21,f1a7,Who (does/do) the (baby/babies) look like?,Unordered Categorical
22,cf1age,Constructed - Father's age (years),Continuous
23,f1b1a,How many years did you know each other before (baby's mother) got pregnant?,Continuous
25,f1b2,Is respondent married to baby's mother?,Unordered Categorical
26,f1b3,What describes your current relationship with (baby's mother)?,Ordered Categorical
49,f1b8,Are you and bio mom living together now?,Unordered Categorical
73,f1b10,Do you and bio mom have plans to marry in the future?,Unordered Categorical
85,f1b10b1,"Reasons aren't married now, No need to marry?",Unordered Categorical
86,f1b10b2,"Reasons aren't married now, Timing problem?",Unordered Categorical
87,f1b10b3,"Reasons aren't married now, Financial Reasons?",Unordered Categorical
88,f1b10b4,"Reasons aren't married now, Distance?",Unordered Categorical
89,f1b10b5,"Reasons aren't married now, Incarceration?",Unordered Categorical
90,f1b10b6,"Reasons aren't married now, Housing reasons?",Unordered Categorical
91,f1b10b7,"Reasons aren't married now, Relationship reasons?",Unordered Categorical
94,f1b10b10,"Reasons aren't married now, Haven't talked about it?",Unordered Categorical
95,f1b10b11,"Reasons aren't married now, Other specify?",Unordered Categorical
96,f1b11a,"In last month, you and bio mom visited with friends?",Unordered Categorical
97,f1b11b,"In last month, you and bio mom went out to movies, sporting event, etc?",Unordered Categorical
98,f1b11c,"In last month, you and bio mom ate out in a restaurant?",Unordered Categorical
99,f1b11d,"In last month, you and bio mom helped each other solve a problem?",Unordered Categorical
100,f1b12a,"In last month, how often did you disagree about money?",Ordered Categorical
101,f1b12b,"In last month, how often did you disagree about spending time together?",Ordered Categorical
102,f1b12c,"In last month, how often did you disagree about sex?",Ordered Categorical
103,f1b12d,"In last month, how often did you disagree about the pregnancy?",Ordered Categorical
104,f1b12e,"In last month, how often did you disagree about drinking/drug use?",Ordered Categorical
105,f1b12f,"In last month, how often did you disagree about being faithful?",Ordered Categorical
111,f1b14,What do you think the chances you will marry bio mom in the future?,Ordered Categorical
112,f1b14a,What do you think the chances are that you will ever marry someone?,Ordered Categorical
113,f1b15a,"How life diff if married bio mom, financial security?",Ordered Categorical
114,f1b15b,"How life diff if married bio mom, happiness?",Ordered Categorical
115,f1b15c,"How life diff if married bio mom, freedom to do?",Ordered Categorical
116,f1b15d,"How life diff if married bio mom, control over money?",Ordered Categorical
117,f1b15e,"How life diff if married bio mom, your sex life?",Ordered Categorical
118,f1b15f,"How life diff if married bio mom, relations w/parents?",Ordered Categorical
119,f1b16,"During bio mom preg, did you give her money or buy things for the baby/ies?",Unordered Categorical
120,f1b17,"Did you help in other ways, like providing transportation/doing chores?",Unordered Categorical
