,variable,lasso_coeff,lasso_coeff_absolute
4067,f5a3e,0.009096860738942118,0.009096860738942118
1077,m2j4b6,0.008493607071859999,0.008493607071859999
4725,ch5ppvtss,0.0076276851811068,0.0076276851811068
119,f1e1d3,0.006786586658638851,0.006786586658638851
857,m2b26,0.006402640004238146,0.006402640004238146
4727,ch5wj10ss,0.006079699845264563,0.006079699845264563
4579,p5q1g,0.0053949714551835976,0.0053949714551835976
4107,f5c1,0.005250372944592706,0.005250372944592706
3278,ct4teacherage,0.004767265156190137,0.004767265156190137
5144,k5f1,0.004571992870958201,0.004571992870958201
2676,f4j4b_6,0.004461273117837221,0.004461273117837221
653,f2j4b6,0.004249508378245901,0.004249508378245901
1317,f3f2c2,0.004209935881080762,0.004209935881080762
356,m1e1d3,0.003953100156618731,0.003953100156618731
880,m2c3c,0.0035892913199136525,0.0035892913199136525
1448,f3j52,0.003545025850941329,0.003545025850941329
4866,t5a5,0.0034972271719116797,0.0034972271719116797
1099,m2k6b,0.003394617844116039,0.003394617844116039
2361,ch3ppvtraw,0.003325283939320971,0.003325283939320971
354,m1e1d1,0.003264345704794882,0.003264345704794882
4396,p5i10a,0.0032581132030915804,0.0032581132030915804
558,f2g1a,0.0032181699122333235,0.0032181699122333235
3570,o4p8,0.003192996241785656,0.003192996241785656
1038,m2h9b1,0.0030790138002982385,0.0030790138002982385
191,f1j11,0.0030037844531970617,0.0030037844531970617
3148,m4k10,0.0028877274195567306,0.0028877274195567306
808,m2b5c1,0.0028293176260108144,0.0028293176260108144
963,m2f2d1,0.002790607860622988,0.002790607860622988
2401,f4a3e,0.002748314027448738,0.002748314027448738
4586,p5q1n,0.0026771856295301497,0.0026771856295301497
964,m2f2d2,0.002621376083784744,0.002621376083784744
1228,f3b10,0.0025964512879199436,0.0025964512879199436
600,f2h2,0.002450815580480691,0.002450815580480691
4081,f5a6f01,0.002380146467869511,0.002380146467869511
1713,m3d3a_7,0.0022862715047160176,0.0022862715047160176
2336,ch3chtcm,0.002283405830989305,0.002283405830989305
722,f2k21,0.002270479935339328,0.002270479935339328
5133,m4d6,0.0022648734573789786,0.0022648734573789786
1511,f3l5d,0.002152770490020461,0.002152770490020461
875,m2c2a,0.0021451194649554795,0.0021451194649554795
1903,m3k8,0.0021324503089064743,0.0021324503089064743
1729,m3f2c1,0.0020821052551032344,0.0020821052551032344
3663,ch4wjrmi22,0.002078111127796819,0.002078111127796819
3802,m5b2a,0.001909041005023052,0.001909041005023052
190,f1j10,0.0019016848983397692,0.0019016848983397692
1756,m3h2a_8,0.0018403325591706927,0.0018403325591706927
3316,p4b12min,0.001836010856422984,0.001836010856422984
3897,m5f4a,0.0016839089072040502,0.0016839089072040502
3465,p4k8,0.0016735139637154691,0.0016735139637154691
2078,p3e8,0.0016683525956968908,0.0016683525956968908
3786,m5a5c04,0.0015848891914927777,0.0015848891914927777
125,f1e4a,0.0015101468971020797,0.0015101468971020797
213,f1citywt_rep4,0.0013932119278160827,0.0013932119278160827
3672,ch4cbmi_p,0.0013880006603935258,0.0013880006603935258
1731,m3f2c3,0.0013316464031897977,0.0013316464031897977
2027,p3b12,0.0012895595997839012,0.0012895595997839012
1955,m3citywt_rep1,0.0012566769725460018,0.0012566769725460018
517,f2c6c,0.001155808582922419,0.001155808582922419
2915,m4c36,0.0011329445886274709,0.0011329445886274709
4852,ch5mwtlb,0.0010995693897561144,0.0010995693897561144
4065,f5a3c,0.0010967798986153284,0.0010967798986153284
753,f2citywt_rep1,0.0010835627899326895,0.0010835627899326895
2074,cp3e5_expen,0.001076910140605985,0.001076910140605985
4845,ch5bmip,0.0010585334458956658,0.0010585334458956658
4290,f5k15a,0.00104277074548742,0.00104277074548742
2371,ch3ppvtage_m,0.0009912640974771118,0.0009912640974771118
4197,f5i10,0.0009907085566795706,0.0009907085566795706
1959,m3citywt_rep5,0.0009696989375717883,0.0009696989375717883
3200,m4citywt_rep6,0.000947402499309455,0.000947402499309455
2757,f4citywt_rep10,0.0009054621538031619,0.0009054621538031619
3795,m5a8b03,0.0008736434733425587,0.0008736434733425587
526,f2c20b1,0.0008663519721704135,0.0008663519721704135
773,q2citywt_rep9,0.0008559938045943217,0.0008559938045943217
769,q2citywt_rep5,0.0008553311756947233,0.0008553311756947233
1964,m3citywt_rep10,0.0008537102809038402,0.0008537102809038402
1888,m3r1,0.0008515209389321652,0.0008515209389321652
1544,q3citywt_rep6,0.0008243974222049463,0.0008243974222049463
1,cf1lenmin,0.0008133940808375011,0.0008133940808375011
1535,f3citywt_rep9,0.0007966434223559668,0.0007966434223559668
3203,m4citywt_rep9,0.00076480854064926,0.00076480854064926
1545,q3citywt_rep7,0.0007431852917463324,0.0007431852917463324
11,f1a7,0.0007413752898112235,0.0007413752898112235
188,f1j8a,0.0007379675105677226,0.0007379675105677226
4831,h5m9a1,0.0007258555494989884,0.0007258555494989884
981,m2g1b,0.0007155408447405595,0.0007155408447405595
421,m1i2ii,0.0006859127127809429,0.0006859127127809429
215,f1citywt_rep6,0.0006659476129897199,0.0006659476129897199
4469,p5j9,0.0006588572564393589,0.0006588572564393589
760,f2citywt_rep8,0.0006397906680615964,0.0006397906680615964
2665,f4j2e,0.0006304989764062241,0.0006304989764062241
2768,q4citywt_rep9,0.0006259439855610564,0.0006259439855610564
1608,m3b7a,0.0006219275893853349,0.0006219275893853349
2756,f4citywt_rep9,0.0006171974585660383,0.0006171974585660383
5138,f4d7,0.0005962354619691079,0.0005962354619691079
2754,f4citywt_rep7,0.0005667746255233434,0.0005667746255233434
2764,q4citywt_rep5,0.0005660500213946192,0.0005660500213946192
607,f2h7c,0.0005626390574116593,0.0005626390574116593
834,m2b18h,0.0005528101142356322,0.0005528101142356322
1159,m2citywt_rep9,0.0005190760480587137,0.0005190760480587137
456,m1citywt_rep7,0.0004892702694927988,0.0004892702694927988
2733,f4l5d,0.00047736464093763796,0.00047736464093763796
1626,m3b17,0.0004761482509193448,0.0004761482509193448
451,m1citywt_rep2,0.0004673566120194956,0.0004673566120194956
1034,m2h8g,0.00045105829596060596,0.00045105829596060596
1531,f3citywt_rep5,0.0004469118066377188,0.0004469118066377188
1924,m3k21,0.0004427347328093373,0.0004427347328093373
453,m1citywt_rep4,0.0004214999981098805,0.0004214999981098805
965,m2f2d3,0.00041671090081275353,0.00041671090081275353
211,f1citywt_rep2,0.00041272838786991946,0.00041272838786991946
2066,p3e1a_1,0.00040720037572053523,0.00040720037572053523
2892,m4c13a1,0.0003843312639361571,0.0003843312639361571
1963,m3citywt_rep9,0.00038400483288015684,0.00038400483288015684
754,f2citywt_rep2,0.00035196114022741944,0.00035196114022741944
771,q2citywt_rep7,0.00033864118345372306,0.00033864118345372306
1478,f3k10,0.00033824260169116303,0.00033824260169116303
1533,f3citywt_rep7,0.0003216242677693652,0.0003216242677693652
1547,q3citywt_rep9,0.00032117075344846515,0.00032117075344846515
1155,m2citywt_rep5,0.0003051614891253255,0.0003051614891253255
1346,f3h7,0.0003032607140765154,0.0003032607140765154
1539,q3citywt_rep1,0.0003030913832921388,0.0003030913832921388
1233,f3b17,0.00028246620198307457,0.00028246620198307457
762,f2citywt_rep10,0.0002805273550428633,0.0002805273550428633
3319,p4b14,0.0002759859677303094,0.0002759859677303094
1154,m2citywt_rep4,0.0002729502284682167,0.0002729502284682167
1532,f3citywt_rep6,0.00026697259131668174,0.00026697259131668174
2751,f4citywt_rep4,0.00025878249979514753,0.00025878249979514753
756,f2citywt_rep4,0.00025694077639437315,0.00025694077639437315
3457,ch4k2_expen,0.00024967138019014193,0.00024967138019014193
4084,f5a8b01,0.0002488326585139348,0.0002488326585139348
3907,m5f8c2,0.00024237031224872023,0.00024237031224872023
3896,m5f4,0.00024019998896381768,0.00024019998896381768
1156,m2citywt_rep6,0.0002398757240278554,0.0002398757240278554
3202,m4citywt_rep8,0.00023956152503232185,0.00023956152503232185
1366,f3i4,0.00023606245516337917,0.00023606245516337917
787,m2a8a1b,0.00023340498944748653,0.00023340498944748653
559,f2g1b,0.00022283726625043634,0.00022283726625043634
1957,m3citywt_rep3,0.00020185926938629987,0.00020185926938629987
1811,m3i8c2,0.0001933172287739156,0.0001933172287739156
3462,ch4k5_expen,0.00016775790641580853,0.00016775790641580853
501,f2b36g,0.00015925998123372475,0.00015925998123372475
832,m2b18f,0.0001562646366146792,0.0001562646366146792
3793,m5a8b02,0.00015333095020419806,0.00015333095020419806
985,m2g3,0.0001411318923126428,0.0001411318923126428
3197,m4citywt_rep3,0.00012727763178596403,0.00012727763178596403
898,m2c8d,0.00012658997257444896,0.00012658997257444896
450,m1citywt_rep1,0.0001243111327085218,0.0001243111327085218
2761,q4citywt_rep2,0.00012353189736660018,0.00012353189736660018
1497,f3k22,0.00012316238373131778,0.00012316238373131778
2971,m4f2c1,0.00010927896529933177,0.00010927896529933177
3674,ch4chtcm,0.000109202773234447,0.000109202773234447
2106,p3h1b,9.710046676182337e-05,9.710046676182337e-05
1153,m2citywt_rep3,9.549992369803169e-05,9.549992369803169e-05
2331,ch3mesyr,9.075505525894794e-05,9.075505525894794e-05
4847,ch5hap,8.169013994130704e-05,8.169013994130704e-05
476,f2a7b1b,7.671389607270716e-05,7.671389607270716e-05
3173,m4l2a,6.913658485569111e-05,6.913658485569111e-05
3992,m5j2a,6.132153922864985e-05,6.132153922864985e-05
1041,m2h9c2,5.425165746688434e-05,5.425165746688434e-05
474,f2a7a1b,5.203497493655405e-05,5.203497493655405e-05
216,f1citywt_rep7,5.0407250524299975e-05,5.0407250524299975e-05
1504,f3l2a,4.951038466554447e-05,4.951038466554447e-05
3965,m5i9b,4.795078626884407e-05,4.795078626884407e-05
1158,m2citywt_rep8,4.780397087133044e-05,4.780397087133044e-05
502,f2b36h,4.763601826342676e-05,4.763601826342676e-05
3204,m4citywt_rep10,4.7218604969980464e-05,4.7218604969980464e-05
766,q2citywt_rep2,4.6533971145770656e-05,4.6533971145770656e-05
3648,ch4mesyr,3.805895770434584e-05,3.805895770434584e-05
426,m1i6,2.9399138396865817e-05,2.9399138396865817e-05
214,f1citywt_rep5,2.6800410409402126e-05,2.6800410409402126e-05
1932,m3l2a,2.1109801746983196e-05,2.1109801746983196e-05
4466,p5j7,2.1050076990848718e-05,2.1050076990848718e-05
1000,m2g5b_a1,2.0871736621127682e-05,2.0871736621127682e-05
218,f1citywt_rep9,1.8578027077572044e-05,1.8578027077572044e-05
2762,q4citywt_rep3,1.6575602505613577e-05,1.6575602505613577e-05
2072,p3e5,1.4185017941007159e-05,1.4185017941007159e-05
1943,m3l6b,1.3376608596882714e-05,1.3376608596882714e-05
737,f2l6c,1.2422821855611778e-05,1.2422821855611778e-05
1515,f3l6c,9.212927707512467e-06,9.212927707512467e-06
1757,m3h2b,9.194314779727929e-06,9.194314779727929e-06
4223,f5j2a,7.814755626676745e-06,7.814755626676745e-06
789,m2a8b1b,5.7879582491740585e-06,5.7879582491740585e-06
4199,f5i13,5.158493716190859e-06,5.158493716190859e-06
5106,cm5hhinc,4.973175935227423e-06,4.973175935227423e-06
3184,m4l6b,4.897921364399682e-06,4.897921364399682e-06
1923,m3k19,4.510892085390882e-06,4.510892085390882e-06
3968,m5i13,4.162959909447155e-06,4.162959909447155e-06
2737,f4l6c,3.5057068132626986e-06,3.5057068132626986e-06
2723,f4l1,3.2333071170632296e-06,3.2333071170632296e-06
923,m2c38,3.2105600021863678e-06,3.2105600021863678e-06
1108,m2k10a,3.119918861002938e-06,3.119918861002938e-06
1145,cm2hhinc,2.8802382150598045e-06,2.8802382150598045e-06
2736,f4l6b,2.2877298521177465e-06,2.2877298521177465e-06
745,cf2hhincb,2.2463456261828207e-06,2.2463456261828207e-06
187,f1j8,2.072760902513381e-06,2.072760902513381e-06
3171,m4l1,2.0707567926313666e-06,2.0707567926313666e-06
4234,f5j6c,1.983480626407144e-06,1.983480626407144e-06
3166,m4k19,1.8991396478488057e-06,1.8991396478488057e-06
726,f2l1,1.7557785116887018e-06,1.7557785116887018e-06
4221,f5j1,1.588426071000711e-06,1.588426071000711e-06
3189,cm4hhinc,1.3937464913290233e-06,1.3937464913290233e-06
443,cm1hhinc,1.3113481311526117e-06,1.3113481311526117e-06
1908,m3k13,9.519863250059493e-07,9.519863250059493e-07
1948,cm3hhinc,9.311625526020747e-07,9.311625526020747e-07
1502,f3l1,8.932884663446401e-07,8.932884663446401e-07
807,m2b5b,5.381980920514484e-07,5.381980920514484e-07
3783,m5a5c03,4.0820906306205667e-07,4.0820906306205667e-07
2718,f4k19,2.292251031515476e-07,2.292251031515476e-07
