,variable,lasso_coeff,lasso_coeff_absolute
421,m1i2ii,0.0015641238553709626,0.0015641238553709626
1961,m3citywt_rep7,0.0004074587449443119,0.0004074587449443119
451,m1citywt_rep2,0.0003726442794566676,0.0003726442794566676
1535,f3citywt_rep9,0.0003283309936894948,0.0003283309936894948
2769,q4citywt_rep10,0.0003022949628150734,0.0003022949628150734
2066,p3e1a_1,0.0002216651857129978,0.0002216651857129978
1151,m2citywt_rep1,0.0001877050980977526,0.0001877050980977526
3896,m5f4,0.00015845108541246236,0.00015845108541246236
789,m2a8b1b,0.00012055046795239934,0.00012055046795239934
756,f2citywt_rep4,0.00011496224994386275,0.00011496224994386275
4466,p5j7,9.780641019388892e-05,9.780641019388892e-05
1531,f3citywt_rep5,8.662690812594722e-05,8.662690812594722e-05
2761,q4citywt_rep2,7.84241684980438e-05,7.84241684980438e-05
1811,m3i8c2,6.341051573825758e-05,6.341051573825758e-05
1544,q3citywt_rep6,6.0792933828465066e-05,6.0792933828465066e-05
474,f2a7a1b,5.5099999852610966e-05,5.5099999852610966e-05
601,f2h4,5.059014993229956e-05,5.059014993229956e-05
1532,f3citywt_rep6,4.9647786628183795e-05,4.9647786628183795e-05
769,q2citywt_rep5,4.949599559220099e-05,4.949599559220099e-05
2757,f4citywt_rep10,4.530110858508803e-05,4.530110858508803e-05
1530,f3citywt_rep4,4.104079396631239e-05,4.104079396631239e-05
218,f1citywt_rep9,3.861439841693913e-05,3.861439841693913e-05
753,f2citywt_rep1,3.767400372192203e-05,3.767400372192203e-05
1932,m3l2a,3.503865417372671e-05,3.503865417372671e-05
3455,p4k2,3.4064075210985224e-05,3.4064075210985224e-05
214,f1citywt_rep5,2.938787291026453e-05,2.938787291026453e-05
1504,f3l2a,2.774610587959306e-05,2.774610587959306e-05
1786,m3i4,2.1554079194244648e-05,2.1554079194244648e-05
3965,m5i9b,1.6853816364332328e-05,1.6853816364332328e-05
3197,m4citywt_rep3,9.752602506141574e-06,9.752602506141574e-06
1136,m2l6c,8.472554760700593e-06,8.472554760700593e-06
2737,f4l6c,7.251073986101755e-06,7.251073986101755e-06
1960,m3citywt_rep6,6.403939465942796e-06,6.403939465942796e-06
1024,m2h4,6.2231978855919725e-06,6.2231978855919725e-06
3051,m4i4,5.5287827767545205e-06,5.5287827767545205e-06
3185,m4l6c,4.683083669573552e-06,4.683083669573552e-06
4234,f5j6c,4.1255102956594654e-06,4.1255102956594654e-06
1000,m2g5b_a1,4.0314557431396016e-06,4.0314557431396016e-06
417,m1i2b,4.019578343769684e-06,4.019578343769684e-06
743,cf2hhinc,3.975411325035082e-06,3.975411325035082e-06
4221,f5j1,3.6829208393735087e-06,3.6829208393735087e-06
767,q2citywt_rep3,3.1222216087716737e-06,3.1222216087716737e-06
1908,m3k13,2.516003420936724e-06,2.516003420936724e-06
5106,cm5hhinc,1.9228045520846737e-06,1.9228045520846737e-06
3171,m4l1,1.918833913773731e-06,1.918833913773731e-06
187,f1j8,1.702423172985421e-06,1.702423172985421e-06
1481,f3k13,1.511441465607204e-06,1.511441465607204e-06
1516,cf3hhinc,1.4996376761288078e-06,1.4996376761288078e-06
1944,m3l6c,1.4555917458510736e-06,1.4555917458510736e-06
2074,cp3e5_expen,1.3261670789843172e-06,1.3261670789843172e-06
3166,m4k19,1.1702577378714164e-06,1.1702577378714164e-06
4003,m5j6b1,1.1691022062661186e-06,1.1691022062661186e-06
5110,cf5hhincb,8.273037485254764e-07,8.273037485254764e-07
1135,m2l6b,7.448781137849936e-07,7.448781137849936e-07
1948,cm3hhinc,6.404911795203806e-07,6.404911795203806e-07
1496,f3k20,6.162845818141743e-07,6.162845818141743e-07
1514,f3l6b,6.10075846549593e-07,6.10075846549593e-07
4216,f5i19a,5.529662308455448e-07,5.529662308455448e-07
3968,m5i13,4.515250742281396e-07,4.515250742281396e-07
1124,m2l1,4.2466651393560285e-07,4.2466651393560285e-07
2723,f4l1,2.1688110779897297e-07,2.1688110779897297e-07
1145,cm2hhinc,1.9629916600414755e-07,1.9629916600414755e-07
3462,ch4k5_expen,5.156275842447205e-08,5.156275842447205e-08
